,year,year_date,min_wage,adjusted_min_wage
0,1968,1968-01-01,1.15,8.869973607038123
1,1969,1969-01-01,1.15,8.496238764044943
2,1970,1970-01-01,1.3,9.045455026455027
3,1971,1971-01-01,1.3,8.590909547738695
4,1972,1972-01-01,1.6,10.238987834549878
5,1973,1973-01-01,1.6,9.878460093896713
6,1974,1974-01-01,1.6,9.030523605150215
7,1975,1975-01-01,1.6,8.077205374280231
8,1976,1976-01-01,2.2,10.407028776978418
9,1977,1977-01-01,2.2,9.891124786324786
10,1978,1978-01-01,2.2,9.2580928
11,1979,1979-01-01,2.9,11.167505124450951
12,1980,1980-01-01,3.1,10.479992287917739
13,1981,1981-01-01,3.35,10.127550574712643
14,1982,1982-01-01,3.35,9.343551431601274
15,1983,1983-01-01,3.35,9.009170756646217
16,1984,1984-01-01,3.35,8.646682041216879
17,1985,1985-01-01,3.35,8.351629383886255
18,1986,1986-01-01,3.35,8.039205291970804
19,1987,1987-01-01,3.35,7.923533273381294
20,1988,1988-01-01,3.35,7.615357821953327
21,1989,1989-01-01,3.35,7.275779521056978
22,1990,1990-01-01,3.35,6.915988226059654
23,1991,1991-01-01,3.8,7.425358098068351
24,1992,1992-01-01,4.25,8.094203475742217
25,1993,1993-01-01,4.25,7.838776297335204
26,1994,1994-01-01,4.25,7.64575581395349
27,1995,1995-01-01,4.25,7.437188955422489
28,1996,1996-01-01,4.25,7.239698834196892
29,1997,1997-01-01,4.75,7.8523978629792595
30,1998,1998-01-01,5.15,8.381943688118813
31,1999,1999-01-01,5.15,8.24420024345709
32,2000,2000-01-01,5.15,8.024420023696683
33,2001,2001-01-01,5.15,7.735705882352942
34,2002,2002-01-01,5.15,7.648346132128742
35,2003,2003-01-01,5.15,7.454717116125483
36,2004,2004-01-01,5.15,7.31383423326134
37,2005,2005-01-01,5.15,7.102895123230206
38,2006,2006-01-01,5.15,6.830671205244579
39,2007,2007-01-01,5.15,6.691773871630702
40,2008,2008-01-01,5.85,7.289330585559976
41,2009,2009-01-01,6.55,8.159122964057534
42,2010,2010-01-01,7.25,8.800027228213967
43,2011,2011-01-01,7.25,8.658730014576134
44,2012,2012-01-01,7.25,8.412642004720624
45,2013,2013-01-01,7.25,8.280577992009727
46,2014,2014-01-01,7.25,8.151864344465535
47,2015,2015-01-01,7.25,8.159154411292773
48,2016,2016-01-01,7.25,8.048639602221884
49,2017,2017-01-01,7.25,7.852328085686401
50,2018,2018-01-01,7.25,7.693043043244966
51,2019,2019-01-01,7.25,7.575528778921943
